ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes,scanRaw,AutoCones,AutoCubes,TeleopCones,TeleopCubes,AttemptedTripleBalance,SuccessfulTripleBalance,uuid
Adrian,qm84,red,2,9084,true,6H,0.0,1.0,Engage,Engage,,6M|5Lcube|5M|5H|4Lcube|4M|4H,0.0,,Engage,Engage,3.9,,0.0,0.0,0.0,0.0,5.0,,Adrian|qm|84|red|2|9084|true|4H|0|true|Engage|Engage||4M|5Lcube|5M|5H|6Lcube|6M|6H|0||Engage|Engage|3.9||false|false|0|0|5|,['High'],[],"['Mid', 'Mid', 'High']","['Low', 'Mid', 'High', 'Low']",1.0,1.0,5c313391-72fa-4007-ae79-b31245eb89b4
Eckart,qm85,blue,1,5338,true,1H,0.0,0.0,None,None,,3M|6Lcone|6M|7M|9M,0.0,,Engage,Park,,Not enough time to dock,0.0,0.0,0.0,0.0,0.0,,Eckart|qm|85|blue|1|5338|true|1H|0|false||None||3M|6Lcone|6M|7M|9M|0||Engage|Park||Not enough time to dock|false|false|0|0|0|,['High'],[],"['Mid', 'Low', 'Mid', 'Mid', 'Mid']",[],0.0,0.0,3f29d50b-1fcc-448d-8fd5-7f04d0149af8
Joshua,qm85,blue,2,5990,true,9H,1.0,1.0,None,,attempted double auto,3H|4H|6H|7H|8H|9M,0.0,Bumps into teammates while traversing field Takes some time to score,Engage,Dock,6,,0.0,0.0,20.0,3.0,4.0,Sloppy driving,Joshua|qm|85|blue|2|5990|true|9H|1|true|||attempted double auto|3H|4H|6H|7H|8H|9M|0|Bumps into teammates while traversing field Takes some time to score|Engage|Dock|6||false|false|20|3|4|Sloppy driving,['High'],[],"['High', 'High', 'High', 'High', 'Mid']",['High'],0.0,0.0,69f4aba8-bddb-4536-957d-0c8967a3a2a5
paul,qm85,blue,3,6657,true,5H,0.0,1.0,Engage,Engage,,2M|5M|8M|8H,2.0,,None,,,,0.0,0.0,0.0,0.0,0.0,,paul|qm|85|blue|3|6657|true|5H|0|true|Engage|Engage||2M|5M|8M|8H|2||||||false|false|0|0|0|,[],['High'],[],"['Mid', 'Mid', 'Mid', 'High']",0.0,0.0,cdf463fa-d6f1-4e99-849b-a4ab8c533e92
aarav,qm85,red,1,1156,true,,0.0,1.0,Engage,Engage,,8M|5M|5H|2Lcube|2M,0.0,,None,None,,,0.0,0.0,0.0,0.0,4.0,,aarav|qm|85|red|1|1156|true||0|true|Engage|Engage||2M|5M|5H|8Lcube|8M|0|||None|||false|false|0|0|4|,[],[],[],"['Mid', 'Mid', 'High', 'Low', 'Mid']",0.0,0.0,347d02ae-f4a1-41f0-bd4c-a03cceeafff5
Adrian and Agneya,qm85,red,2,1538,true,8H,0.0,1.0,None,None, | ,9H|7H|6Lcone|6H|5Lcone|4M|3M|3H|1H,0.0, | ,None,None,, | ,0.0,0.0,0.0,0.0,5.0, | ,Adrian|qm|85|red|2|1538|true|2H|0|true||||1H|3H|4Lcone|4H|5Lcone|6M|7M|7H|9H|0|||None|||false|false|0|0|5|,[],['High'],"['High', 'High', 'Low', 'High', 'Low', 'Mid', 'Mid', 'High', 'High']",[],0.0,0.0,9101d710-bcb2-458e-b8be-07b581be389d
darren,qm85,red,3,7617,true,1M,0.0,1.0,None,,failed 1+1,9M|7M|6M|2H,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,2.0,,darren|qm|85|red|3|7617|true|9M|0|true|||failed 1+1|1M|3M|4M|8H|1||Engage|Engage|||false|false|0|0|2|,['Mid'],[],"['Mid', 'Mid', 'Mid']",['High'],0.0,0.0,53134d9a-afe9-468b-b732-0890f50327f7
Joshua,qm86,blue,2,1629,true,2M,0.0,1.0,None,,,1M|1H|7H|9M|9H,0.0,Could have gotten much more cycles if not for teammates taking way too long to intake and score,Engage,Dock,10,Teammate fell off ,0.0,0.0,20.0,2.0,5.0,Very good team held back by teammates,Joshua|qm|86|blue|2|1629|true|2M|0|true||||1M|1H|7H|9M|9H|0|Could have gotten much more cycles if not for teammates taking way too long to intake and score|Engage|Dock|10|Teammate fell off |false|false|20|2|5|Very good team held back by teammates,[],['Mid'],"['Mid', 'High', 'High', 'Mid', 'High']",[],1.0,0.0,988323a1-b50e-47b1-beb7-332efb84f587
paul,qm86,blue,3,4419,true,6H,0.0,0.0,Engage,,,3Lcone|3H|4Lcone|4H|5H|8M,1.0,,Engage,None,,,0.0,0.0,0.0,0.0,4.0,,paul|qm|86|blue|3|4419|true|6H|0|false|Engage|||3Lcone|3H|4Lcone|4H|5H|8M|1||Engage|None|||false|false|0|0|4|,['High'],[],"['Low', 'High', 'Low', 'High']","['High', 'Mid']",1.0,0.0,b8a6a53c-2158-4ea2-ab24-131da62a21d5
Eckart,qm86,blue,1,6909,true,2H,0.0,1.0,None,None,,5M|8H,0.0,,Engage,None,,Tipped over at the end,0.0,1.0,0.0,0.0,2.0,,Eckart|qm|86|blue|1|6909|true|2H|0|true||None||5M|8H|0||Engage|None||Tipped over at the end|false|true|0|0|2|,[],['High'],[],"['Mid', 'High']",1.0,0.0,813bfb59-46ad-4ba9-90b7-737817009e8b
